Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude
Mosman Park Nursing Home,57 Palmerston Street,,MOSMAN PARK,WA,6012,Metropolitan North,Residential,35,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.0102,115.76689
Freshwater Bay Nursing Home,67 Palmerston Street,,MOSMAN PARK,WA,6012,Metropolitan North,Residential,46,,,Fresh Fields Projects (WA) No.1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.01121,115.76689
Adventist Residential Care,31 Webb Street,,ROSSMOYNE,WA,6148,Metropolitan South East,Residential,80,,,Seventh-Day Adventist Care (Western Australia) Ltd,Charitable,Major Cities of Australia,-32.04574606,115.8654312
Bethanie Elanora Villas Nursing Home,37 Hastie Street,,SOUTH BUNBURY,WA,6230,South West,Residential,81,,,The Bethanie Group Incorporated,Religious,Inner Regional Australia,-33.357207,115.6250479
Armadale Place Care Community,21 Angelo Street,,ARMADALE,WA,6112,Metropolitan South East,Residential,77,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.1555,116.00233
Belmont Community Nursing Home,14 Cleaver Street,,RIVERVALE,WA,6103,Metropolitan South East,Residential,52,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.955201,115.91668
Victoria Park Nursing Home,1 Croesus Street,,KALGOORLIE,WA,6430,Goldfields,Residential,22,,,Southern Cross Care (WA) Inc,Religious,Outer Regional Australia,-30.74117384,121.4751116
Valencia Nursing Home,24 Valencia Road,,CARMEL,WA,6076,Metropolitan East,Residential,66,,,Burswood Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.02164,116.09841
Aegis Bassendean,27 Hamilton Street,,BASSENDEAN,WA,6054,Metropolitan East,Residential,80,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.904351,115.951906
Craigcare Maylands,"6 Third Avenue, East",,MAYLANDS,WA,6051,Metropolitan East,Residential,92,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93426768,115.8869361
Mercy Place Lathlain,63 Archer Street,,CARLISLE,WA,6101,Metropolitan South East,Residential,67,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-31.97478564,115.9147478
Regis Como,36 Talbot Avenue,,COMO,WA,6152,Metropolitan South East,Residential,68,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.00277921,115.8669378
Koh-I-Noor Contemporary Care,34-36 Pangbourne Street,,WEMBLEY,WA,6014,Metropolitan North,Residential,80,,,ALINEA INC.,Charitable,Major Cities of Australia,-31.9369947,115.8132101
Aegis Balmoral,29 Gardner Street,,COMO,WA,6152,Metropolitan South East,Residential,213,,,Balmoral Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.99042263,115.8570931
Midland Nursing Home,44 John Street,,MIDLAND,WA,6056,Metropolitan East,Residential,110,,,Labouchere Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.88002175,116.0100897
Aegis Carrington,27 Ivermey Road,,HAMILTON HILL,WA,6163,Metropolitan South West,Residential,119,,,Carrington Aged Care Facility Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.08090697,115.7792508
Aegis Melville,1 French Road,,MELVILLE,WA,6156,Metropolitan South West,Residential,92,,,Balmoral Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.03766,115.79426
Emerald Life,78 Kimberley Street,,WEST LEEDERVILLE,WA,6007,Metropolitan North,Residential,93,,,Adhumic Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93807659,115.8352506
Applecross Shore Care Community,30 Carron Road,,APPLECROSS,WA,6153,Metropolitan South West,Residential,132,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.008742,115.846951
Concorde Nursing Home,25 Anstey Street,,SOUTH PERTH,WA,6151,Metropolitan South East,Residential,98,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.98356301,115.8618054
Juniper Chrystal Halliday,27 Prisk Street,,KARRINYUP,WA,6018,Metropolitan North,Residential,120,,,Uniting Church Homes,Religious,Major Cities of Australia,-31.88025789,115.7749527
Bunbury Gardens Care Community,39 Hayes Street,,BUNBURY,WA,6230,South West,Residential,75,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.3290678,115.6462201
MercyCare Wembley Catherine McAuley,18 Barrett Street,,WEMBLEY,WA,6014,Metropolitan North,Residential,126,,,Mercy Community Services Limited,Charitable,Major Cities of Australia,-31.93809,115.82318
Residency by Dillons Narrogin,52 Williams Road,,NARROGIN,WA,6312,Wheatbelt,Residential,50,,,Jacqueline Elizabeth Dillon Business Pty Ltd,Private Incorporated Body,Outer Regional Australia,-32.93566945,117.1679571
Craigcare Albany,Beaufort Road,,YAKAMIA,WA,6330,Great Southern,Residential,85,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.00439432,117.8710636
Geraldton Shore Care Community,159 Fitzgerald Street,,GERALDTON,WA,6530,Mid West,Residential,90,,,DPG Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,-28.78431,114.60801
Mercy Place Mandurah,1 Hungerford Avenue,,HALLS HEAD,WA,6210,Metropolitan South West,Residential,83,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-32.5428,115.70712
Aegis Banksia Park,20 Bright Road,,CALISTA,WA,6167,Metropolitan South West,Residential,131,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.2484826,115.8112435
Mandurah Coast Care Community,83 Boundary Road,,DUDLEY PARK,WA,6210,Metropolitan South West,Residential,54,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.54138,115.73695
McDougall Park Nursing Home,18 Ley Street,,COMO,WA,6152,Metropolitan South East,Residential,52,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.00833,115.86444
Lady McCusker Home,27 Beddi Road,,DUNCRAIG,WA,6023,Metropolitan North,Residential,60,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.83897477,115.7652722
Amaroo Village McMahon Caring Centre,74 Lissiman Street,,GOSNELLS,WA,6110,Metropolitan South East,Residential,96,,,Amaroo Care Services Inc,Community Based,Major Cities of Australia,-32.0669339,115.9973597
Juniper The Residency,47-57 Burgoyne Street,,NORTHAM,WA,6401,Wheatbelt,Residential,50,,,Uniting Church Homes,Religious,Inner Regional Australia,-31.65748331,116.681487
Agmaroy Nursing Home,115 Leach Highway,,WILSON,WA,6107,Metropolitan South East,Residential,60,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.0196046,115.9108582
Baptistcare Gracehaven,2 Westralia Gardens,,ROCKINGHAM,WA,6168,Metropolitan South West,Residential,98,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-32.28533,115.74261
Baptistcare Moonya Nursing Home,59 Ipsen Street,,MANJIMUP,WA,6258,South West,Residential,35,,,Baptistcare WA Limited,Religious,Outer Regional Australia,-34.24173508,116.1353162
Kensington Park Nursing Home,62 Gwenyfred Road,,KENSINGTON,WA,6151,Metropolitan South East,Residential,53,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.97806,115.88624
Wanneroo Community Nursing Home,9 Amos Road,,WANNEROO,WA,6065,Metropolitan North,Residential,65,,,Shire of Wanneroo Aged Persons Homes Trust Inc,Community Based,Major Cities of Australia,-31.75126929,115.819193
Frank Prendergast House,27 Pearson Drive,,SUCCESS,WA,6164,Metropolitan South West,Residential,73,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-32.13661662,115.8584244
Clarence Estate Residential Health and Aged Care,55 Hardie Road,,SPENCER PARK,WA,6330,Great Southern,Residential,86,,,Great Southern Care Company Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.00295411,117.9012744
St George's Care Centre,2 Essex Street,,BAYSWATER,WA,6053,Metropolitan East,Residential,80,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.91580443,115.9057423
Regents Garden Residential Aged Care Resort - Lake Joondalup,33 Drovers Place,,WANNEROO,WA,6065,Metropolitan North,Residential,100,,,Regents Garden Lake Joondalup Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.71862913,115.7774533
McNamara Lodge,41 Portrush Parade,,MEADOW SPRINGS,WA,6210,Metropolitan South West,Residential,96,,,Air Force Association (Western Australian Division) Incorporated,Charitable,Major Cities of Australia,-32.50333,115.7536
Edward Collick Home,173 Wilson Street,,SOUTH KALGOORLIE,WA,6430,Goldfields,Residential,89,,,Amana Living Incorporated,Religious,Outer Regional Australia,-30.75995173,121.4848021
Murdoch Gardens Care Community,Discovery Way,,MURDOCH,WA,6150,Metropolitan South West,Residential,141,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.070663,115.827661
Regents Garden - Bateman,2 Amur Place,,BATEMAN,WA,6150,Metropolitan South West,Residential,84,,,Regents Garden Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.0465429,115.8482913
Aegis Shawford,4 Shawford Place,,INNALOO,WA,6018,Metropolitan North,Residential,102,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.89822909,115.8013529
Rosewood Care West Perth,67 Cleaver Street,,WEST PERTH,WA,6005,Metropolitan East,Residential,151,,,Rosewood Care Group (Inc),Charitable,Major Cities of Australia,-31.93732,115.848823
Baptistcare William Carey Court,450 Bussell Highway,,BROADWATER,WA,6280,South West,Residential,99,,,Baptistcare WA Limited,Religious,Inner Regional Australia,-33.66124,115.29076
Wearne Home,7 Leslie Street,,DUDLEY PARK,WA,6210,Metropolitan South West,Residential,47,,,Amana Living Incorporated,Religious,Major Cities of Australia,-32.53621492,115.7206299
MercyCare Maddington,185 Maddington Road,,MADDINGTON,WA,6109,Metropolitan South East,Residential,50,,,Mercy Human Services Limited,Charitable,Major Cities of Australia,-32.04240149,116.0051789
Aegis Shoalwater,72 Fourth Avenue,,SHOALWATER,WA,6169,Metropolitan South West,Residential,169,,,Aegis Aged Care Shoalwater Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.29303631,115.7088147
Brightwater Madeley,95 Imperial Circuit,,MADELEY,WA,6065,Metropolitan North,Residential,110,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-31.81167058,115.8342704
Bethanie Fields,111 Eaton Drive,,EATON,WA,6232,South West,Residential,160,,,The Bethanie Group Incorporated,Religious,Inner Regional Australia,-33.31569236,115.7231628
Osboine Contemporary Aged Care,39 Newton Street,,BAYSWATER,WA,6053,Metropolitan East,Residential,106,,,ALINEA INC.,Charitable,Major Cities of Australia,-31.92266232,115.9237202
Katanning MPS,Clive Street,,KATANNING,WA,6317,Great Southern,Multi-Purpose Service,18,17,,WA Country Health Service,State Government,Outer Regional Australia,-33.68929745,117.5564841
Pemberton MPS,10 Railway Crescent,,PEMBERTON,WA,6260,South West,Multi-Purpose Service,9,3,,WA Country Health Service,State Government,Outer Regional Australia,-34.445068,116.031778
Dongara/Mingenew/Eneabba MPS,48 Blenheim Road,,PORT DENISON,WA,6525,Mid West,Multi-Purpose Service,6,10,,WA Country Health Service,State Government,Outer Regional Australia,-29.26517,114.93413
Beverley MPS,1 Sewell Street,,BEVERLEY,WA,6304,Wheatbelt,Multi-Purpose Service,17,5,,WA Country Health Service,State Government,Outer Regional Australia,-32.10249034,116.9215873
Augusta MPS,13-15 Donovan Street,,AUGUSTA,WA,6290,South West,Multi-Purpose Service,36,4,,WA Country Health Service,State Government,Inner Regional Australia,-34.30668,115.15702
Lake Grace MPS,Stubbs Street,,LAKE GRACE,WA,6353,Wheatbelt,Multi-Purpose Service,10,2,,WA Country Health Service,State Government,Remote Australia,-33.10018877,118.4791876
Kondinin/Kulin MPS,130 Graham Street,,KONDININ,WA,6367,Wheatbelt,Multi-Purpose Service,11,4,,WA Country Health Service,State Government,Remote Australia,-32.48896953,118.2656936
Norseman MPS,1 Talbot Street,,NORSEMAN,WA,6443,Goldfields,Multi-Purpose Service,7,2,,WA Country Health Service,State Government,Very Remote Australia,-32.199953,121.767697
Ravensthorpe MPS,74 Martin Street,,RAVENSTHORPE,WA,6346,Goldfields,Multi-Purpose Service,8,4,,WA Country Health Service,State Government,Very Remote Australia,-33.585054,120.045938
North Midlands MPS,18 Thomas Street,,THREE SPRINGS,WA,6519,Mid West,Multi-Purpose Service,19,4,,WA Country Health Service,State Government,Remote Australia,-29.53785155,115.75921
Morawa/Perenjori MPS,Caulfield Road,,MORAWA,WA,6623,Mid West,Multi-Purpose Service,11,3,,WA Country Health Service,State Government,Remote Australia,-29.21317258,116.0063773
Moora/Dandaragan MPS,66 Dandaragan Street,,MOORA,WA,6510,Wheatbelt,Multi-Purpose Service,37,7,,WA Country Health Service,State Government,Outer Regional Australia,-30.63949736,115.9984507
Merredin MPS,Lot 344 Kitchener Road,,MERREDIN,WA,6415,Wheatbelt,Multi-Purpose Service,19,7,,WA Country Health Service,State Government,Outer Regional Australia,-31.48531,118.27639
Denmark MPS,50 Scotsdale Road,,DENMARK,WA,6333,Great Southern,Multi-Purpose Service,49,11,,WA Country Health Service,State Government,Outer Regional Australia,-34.95614586,117.3581152
York MPS,4 Trews Road,,YORK,WA,6302,Wheatbelt,Multi-Purpose Service,28,5,,WA Country Health Service,State Government,Inner Regional Australia,-31.89353796,116.7555285
Murchison MPS,Lot 997 Savage Street,,MEEKATHARRA,WA,6642,Mid West,Multi-Purpose Service,26,6,,WA Country Health Service,State Government,Very Remote Australia,-26.59299357,118.4964708
Northampton/Kalbarri MPS,Stephen Street,,NORTHAMPTON,WA,6525,Mid West,Multi-Purpose Service,22,8,,WA Country Health Service,State Government,Outer Regional Australia,-28.35177,114.63403
Boyup Brook MPS,1 Hospital Road,,BOYUP BROOK,WA,6244,South West,Multi-Purpose Service,16,3,,WA Country Health Service,State Government,Outer Regional Australia,-33.83829,116.38923
Dalwallinu MPS,Lot 612 Myers Street,,DALWALLINU,WA,6609,Wheatbelt,Multi-Purpose Service,15,3,,WA Country Health Service,State Government,Remote Australia,-30.27735911,116.6571074
Dumbleyung/Kukerin MPS,34 McIntyre Street,,DUMBLEYUNG,WA,6350,Wheatbelt,Multi-Purpose Service,6,1,,WA Country Health Service,State Government,Remote Australia,-33.310276,117.740472
Bruce Rock MPS,35 Dunstall Street,,BRUCE ROCK,WA,6418,Wheatbelt,Multi-Purpose Service,12,2,,WA Country Health Service,State Government,Remote Australia,-31.87313,118.1465
Quairading MPS,19 Harris Street,,QUARAIDING,WA,6383,Wheatbelt,Multi-Purpose Service,13,2,,WA Country Health Service,State Government,Outer Regional Australia,-32.01474,117.40269
Corrigin MPS,49 Kirkwood Street,,CORRIGIN,WA,6375,Wheatbelt,Multi-Purpose Service,14,2,,WA Country Health Service,State Government,Remote Australia,-32.32419114,117.8788542
Nannup MPS,11 Carey Street,,NANNUP,WA,6275,South West,Multi-Purpose Service,9,2,,WA Country Health Service,State Government,Outer Regional Australia,-33.982792,115.767484
Wongan Hills MPS,Lot 199 Ackland Street,,WONGAN HILLS,WA,6603,Wheatbelt,Multi-Purpose Service,14,5,,WA Country Health Service,State Government,Outer Regional Australia,-30.89459784,116.7232803
Baptistcare Mirrambeena,21 Farrelly Street,,MARGARET RIVER,WA,6285,South West,Residential,46,,,Baptistcare WA Limited,Religious,Inner Regional Australia,-33.95202696,115.0702943
Bethanie Beachside,629 Two Rocks Road,,YANCHEP,WA,6035,Metropolitan North,Residential,160,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.544012,115.629683
Aegis Anchorage,340 Anchorage Drive North,,MINDARIE,WA,6030,Metropolitan North,Residential,102,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.67765147,115.7093837
Baptistcare David Buttfield Centre,649 NORTH BEACH Road,,GWELUP,WA,6018,Metropolitan North,Residential,105,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-31.87221296,115.7972287
Bethanie Waters,18 Olivenza Crescent,,PORT KENNEDY,WA,6172,Metropolitan South West,Residential,160,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-32.35759,115.77042
Aegis Stirling,32 Spencer Avenue,,YOKINE,WA,6060,Metropolitan North,Residential,135,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.90419913,115.8605842
Brightwater The Cove,35 Hudson Drive,,DUDLEY PARK,WA,6210,Metropolitan South West,Residential,131,,,Brightwater Care Group Limited,Charitable,Major Cities of Australia,-32.55525211,115.739205
Regents Garden Four Seasons Booragoon,495 Marmion Street,,BOORAGOON,WA,6154,Metropolitan South West,Residential,100,,,Regents Garden Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.0406593,115.8242226
Aegis Woodlake,40 Woodlake Retreat,,KINGSLEY,WA,6026,Metropolitan North,Residential,102,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.81637036,115.8196907
Exmouth MPS,Exmouth Hospital 3 Lyon Street,,EXMOUTH,WA,6707,Mid West,Multi-Purpose Service,4,6,,WA Country Health Service,State Government,Very Remote Australia,-21.927791,114.121361
Plantagenet MPS,53 Langton Road,,MOUNT BARKER,WA,6324,Great Southern,Multi-Purpose Service,48,10,,WA Country Health Service,State Government,Outer Regional Australia,-34.62559869,117.647672
North Transitional Care Program (NTCP),29 Neville Street,,BAYSWATER,WA,6053,Metropolitan East,Transition Care,,,67,Government of Western Australia,State Government,Major Cities of Australia,-31.93047,115.91597
Vivian Bullwinkel Lodge,85 Hester Avenue,,MERRIWA,WA,6030,Metropolitan North,Residential,79,,,Air Force Association (Western Australian Division) Incorporated,Charitable,Major Cities of Australia,-31.67091994,115.7191176
Southern Transitional Care Service@Carinya of Bicton,220 Preston Point Road,,BICTON,WA,6157,Metropolitan South West,Transition Care,,,65,Government of Western Australia,State Government,Major Cities of Australia,-32.03049,115.78344
Dr Mary Surveyor Centre,18 Hocking Road,,KINGSLEY,WA,6026,Metropolitan North,Residential,129,,,Meath Care (Inc),Community Based,Major Cities of Australia,-31.80208601,115.8139886
Kungkarrangkalpa Aged Care Service,"Wanarn Community, Main Road",,NGAANYATJARRA-GILES,WA,0872,Goldfields,National Aboriginal and Torres Strait Islander Aged Care Program,21,50,,Ngaanyatjarra Health Service (Aboriginal Corporation),Charitable,Very Remote Australia,-25.283603,127.542064
Karlarra House,200 Forrest Circle,,SOUTH HEDLAND,WA,6722,Pilbara,Residential,56,,,Western Australian Government,State Government,Remote Australia,-20.41398416,118.5958454
Aegis Ellenvale,Cnr Broadwater Blvd & Bell Dr -,,BROADWATER,WA,6280,South West,Residential,140,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.66495725,115.2874352
Karingal Green,Karingal Green Estate,53 Hawkevale Road,HIGH WYCOMBE,WA,6057,Metropolitan East,Residential,162,,,"Karingal Green Health, Aged and Community Care (WA) Pty Ltd",Private Incorporated Body,Major Cities of Australia,-31.934884,116.013057
Regents Garden Aubin Grove,248 Lyon Road,,AUBIN GROVE,WA,6164,Metropolitan South West,Residential,102,,,Regents Garden Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.1683917,115.8631812
Mercy Place Mont Clare,9 DEAN Street,,CLAREMONT,WA,6010,Metropolitan North,Residential,73,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-31.98388504,115.7752258
WA Country Health Service - Midwest Transition Care Service,WACHS - Geraldton Hospital,51-85 Shenton St,GERALDTON,WA,6530,Mid West,Transition Care,,,20,Government of Western Australia,State Government,Outer Regional Australia,-28.78363991,114.6112919
WA Country Health Service - Great Southern Transition Care Service,91 Seymour Street,,ALBANY,WA,6330,Great Southern,Transition Care,,,15,Government of Western Australia,State Government,Outer Regional Australia,-35.01073368,117.9022962
South West Transition Care Service,3 George Street,,BUNBURY,WA,6230,South West,Transition Care,,,20,Government of Western Australia,State Government,Inner Regional Australia,-33.33268,115.6418
City of Bayswater Hostel,21 Embleton Avenue,,EMBLETON,WA,6062,Metropolitan East,Residential,70,,,City of Bayswater,Local Government,Major Cities of Australia,-31.902279,115.916156
Aegis Parkview,6 DRUMMOND Street,,REDCLIFFE,WA,6104,Metropolitan South East,Residential,79,,,Lakeside Hostel Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.93881268,115.9419494
Aegis Amberley,30 Mell Road,,SPEARWOOD,WA,6163,Metropolitan South West,Residential,114,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.10945705,115.7787979
Aegis Hermitage,5 Cottage Close,,ELLENBROOK,WA,6069,Metropolitan East,Residential,120,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.78572302,115.9680455
Senses Disability Aged Care Pilot,11 Kitchener Avenue,,BURSWOOD,WA,6100,Metropolitan South East,Innovative Pool,4,,,Senses Foundation (Incorporated),Charitable,Major Cities of Australia,-31.96448,115.89946
Brightwater Transition Care Program,41 Renegade Way,,KINGSLEY,WA,6026,Metropolitan North,Transition Care,,,101,Government of Western Australia,State Government,Major Cities of Australia,-31.82021297,115.804465
Baptistcare Balladong Gardens,20 Redmile Road,,YORK,WA,6302,Wheatbelt,Residential,26,,,Baptistcare WA Limited,Religious,Inner Regional Australia,-31.89379298,116.7697758
Northern (BCG) Community Transition Care Program,41 Renegade Way,,KINGSLEY,WA,6026,Metropolitan North,Transition Care,,,55,Government of Western Australia,State Government,Major Cities of Australia,-31.82021297,115.804465
Carine Parkside Care Community,29 Silica Road,,CARINE,WA,6020,Metropolitan North,Residential,145,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.8546682,115.7700997
Mertome Aged Care,30 Winifred Road,,BAYSWATER,WA,6053,Metropolitan East,Residential,71,,,Fresh Fields Management (NSW) No 2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.91568127,115.9167065
Bethanie Subiaco,45 Bishop Street,,JOLIMONT,WA,6014,Metropolitan North,Residential,112,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.943094,115.812415
Juniper Gerdewoonem,Ivanhoe Road,,KUNUNURRA,WA,6743,Kimberley,Residential,40,,,Uniting Church Homes,Religious,Very Remote Australia,-15.75074143,128.7263069
Regents Garden Scarborough Condocare,22 Wheatcroft Street,,SCARBOROUGH,WA,6019,Metropolitan North,Residential,105,,,Regents Garden Scarborough Pty Limited,Private Incorporated Body,Major Cities of Australia,-31.893161,115.7631
MYVISTA Mirrabooka,3 Doncaster Road,,MIRRABOOKA,WA,6061,Metropolitan North,Residential,108,,,Stirling Ethnic Aged Home Association (Inc),Community Based,Major Cities of Australia,-31.8671802,115.8570163
Carnarvon MPS,19 Cleaver Street,,CARNARVON,WA,6701,Mid West,Multi-Purpose Service,38,,,WA Country Health Service,State Government,Very Remote Australia,-24.887672,113.661026
Albany Community Care Centre,73 Hardie Road,,ALBANY,WA,6330,Great Southern,Home Care,,,,Albany Community Care Centre Inc,Community Based,Outer Regional Australia,-35.00172,117.90334
Amana Living Kalgoorlie L1 & 2,173 Wilson Street,,SOUTH KALGOORLIE,WA,6430,Goldfields,Home Care,,,,Amana Living Incorporated,Religious,Outer Regional Australia,-30.75995173,121.4848021
Amana Living Kalgoorlie L3 & 4,173 Wilson Street,,SOUTH KALGOORLIE,WA,6430,Goldfields,Home Care,,,,Amana Living Incorporated,Religious,Outer Regional Australia,-30.75995173,121.4848021
Amana Living Metro North L3 & 4,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro South East L3 & 4,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro South West L3 & 4,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro East L3 & 4,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro North & East L1 & 2,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro South East L1 & 2,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amana Living Metro South West L1 & 2,"Level 1, 1-9 Tanunda Drive",,RIVERVALE,WA,6103,Metropolitan South East,Home Care,,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.951976,115.915713
Amaroo Community Care Services CACP,65 Dorothy Street,,GOSNELLS,WA,6110,Metropolitan South East,Home Care,,,,Amaroo Care Services Inc,Community Based,Major Cities of Australia,-32.076101,115.99691
Baptistcare Home Services WA - East Metro,2 / 398 Great Eastern Highway,,ASCOT,WA,6104,Metropolitan South East,Home Care,,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-31.9288696,115.9451422
Baptistcare Home Services WA - Great Southern,4 PLAZA Street,,SOUTH BUNBURY,WA,6230,South West,Home Care,,,,Baptistcare WA Limited,Religious,Inner Regional Australia,-33.33739819,115.6396295
Baptistcare Home Services WA - North Metro,2 / 398 Great Eastern Highway,,ASCOT,WA,6104,Metropolitan South East,Home Care,,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-31.9288696,115.9451422
Baptistcare Home Services WA - South Metro,3 / 17 Rockingham Beach Road,21 Dixon Road,ROCKINGHAM,WA,6168,Metropolitan South West,Home Care,,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-32.27560078,115.7307254
Baptistcare Home Services WA - Southwest,4 PLAZA Street,,SOUTH BUNBURY,WA,6230,South West,Home Care,,,,Baptistcare WA Limited,Religious,Inner Regional Australia,-33.33739819,115.6396295
Baptistcare Home Services WA - Wheatbelt,2 / 398 Great Eastern Highway,,ASCOT,WA,6104,Metropolitan South East,Home Care,,,,Baptistcare WA Limited,Religious,Major Cities of Australia,-31.9288696,115.9451422
Bayswater Extended Community Help Organisation,72 Toowong Street,,BAYSWATER,WA,6053,Metropolitan East,Home Care,,,,Bayswater Extended Community Help Organisation Inc,Charitable,Major Cities of Australia,-31.91638,115.89837
Bethanie Home Care Level 4 Metro East,"Unit 10, 98 Ellersdale Avenue",,WARWICK,WA,6024,Metropolitan North,Home Care,,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.84139,115.81198
Bethanie Home Care Level 4 Metro South West,18 Olivenza Crescent,25 Council Avenue,PORT KENNEDY,WA,6172,Metropolitan South West,Home Care,,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-32.35759,115.77042
Bethanie Home Care Level 4 South West,86 Blair Street,,BUNBURY,WA,6230,South West,Home Care,,,,The Bethanie Group Incorporated,Religious,Inner Regional Australia,-33.32949,115.64118
Bethanie Home Care Level 2 Metro North,"Unit 10, 98 Ellersdale Avenue",,WARWICK,WA,6024,Metropolitan North,Home Care,,,,The Bethanie Group Incorporated,Religious,Major Cities of Australia,-31.84139,115.81198
